classe_num,ndevoir_w1,avg_notew1,log_w1,logMonaday_w1,logSunday_w1,logWed_w1,logThursday_w1,diffDaysWeek,logResource_w1,logCore_w1,logViewed_w1,logviewedCore_w1,logviewedResource_w1,logviewedTargetCourse_w1,logviewedTargetCourseModule_w1,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,18,0,0,9,9,1,0,18,18,18,0,18,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,72,0,0,0,36,1,18,54,72,54,18,54,18,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,144,126,0,0,9,1,36,108,144,108,36,108,36,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,18,0,0,18,0,1,0,18,18,18,0,18,0,0,0,6,0,0
1,0,0,30,0,0,10,0,1,0,30,30,30,0,30,0,0,0,5,0,0
1,0,0,108,36,0,63,0,1,27,81,108,81,27,81,27,0,0,6,0,0
1,0,0,108,0,0,0,0,1,18,90,108,90,18,90,18,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,18,0,0,18,0,1,0,18,18,18,0,18,0,0,0,6,1,0
1,0,0,140,0,30,10,40,1,20,120,140,120,20,120,20,0,0,6,0,0
