classe_num,ndevoir_w11,avg_note_w11,log_w11,logMonday_w11,logSunday_w11,logWed_w11,logThursday_w11,diffDaysWeek,logResource_w11,logCore_w11,logViewed_w11,logviewedCore_w11,logviewedResource_w11,logviewedTargetCourse_w11,logviewedTargetCourseModule_w11,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,2,15.5,9,0,0,0,0,0,0,9,9,9,0,9,0,1,0,6,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,2,18.5,210,0,0,40,120,0,100,110,210,110,100,110,100,0,0,6,0,0
1,2,18,414,117,279,9,9,0,342,72,414,72,342,72,342,0,0,4,0,0
1,2,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,2,17,72,0,0,0,36,0,18,54,72,54,18,54,18,0,0,6,0,0
0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,20,11,0,0,0,11,0,0,11,11,11,0,11,0,0,0,6,0,0
1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
0,2,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,2,17,207,126,0,0,9,0,54,153,207,153,54,153,54,0,0,5,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,2,17,288,0,90,162,0,0,81,198,288,198,81,198,90,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,3,18.6667,882,144,0,279,72,0,216,531,810,522,216,522,288,0,0,6,0,0
1,1,18,30,0,0,10,0,0,0,30,30,30,0,30,0,0,0,5,0,0
1,2,18.5,378,36,0,63,0,0,90,243,360,243,90,243,117,1,0,6,0,0
1,0,0,198,0,90,0,0,0,63,135,198,135,63,135,63,0,0,5,0,0
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,2,19.5,189,81,0,18,45,0,45,144,189,144,45,144,45,0,0,6,1,0
1,2,17,590,0,30,220,40,1,130,460,590,460,130,460,130,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,2,15.5,576,504,0,0,63,0,297,270,576,270,297,270,306,1,0,6,0,0
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,1,6,40,0,40,0,0,0,10,30,40,30,10,30,10,0,0,5,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,1,16,108,0,0,72,0,0,36,72,108,72,36,72,36,0,0,4,0,0
1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,1,16,670,0,0,320,120,1,190,480,670,480,190,290,190,0,1,4,0,0
1,0,0,198,44,44,110,0,0,66,132,198,132,66,132,66,0,0,3,0,0
1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,1,17,370,0,130,0,0,0,170,200,370,200,170,200,170,0,0,6,0,0
1,2,17.5,88,44,0,0,0,1,11,55,88,55,11,55,33,1,1,6,1,0
0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,2,18,315,0,0,27,27,0,90,225,315,225,90,225,90,0,0,6,1,0
1,2,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,18,378,0,9,0,279,0,108,270,378,270,108,270,108,0,0,4,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,0,0,240,150,10,0,0,1,80,140,240,140,80,140,100,0,1,5,0,0
1,2,19.5,243,171,0,0,0,0,54,153,234,153,54,153,81,0,0,6,0,0
1,1,12,72,0,0,0,0,0,9,63,72,63,9,63,9,0,0,6,1,0
1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,1,17,190,80,0,0,30,0,40,150,190,150,40,150,40,0,0,6,0,0
1,2,17.5,1359,54,99,36,918,1,405,873,1341,873,405,873,468,1,1,5,0,0
1,1,17,50,30,0,10,0,0,0,50,50,50,0,50,0,0,0,6,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,1,20,783,0,0,0,468,0,9,486,621,459,9,459,162,0,0,4,0,0
1,3,18.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
