classe_num,ndevoir_w2,avgNote_w2,log_w2,logMonday_w2,logSunday_w2,logWed_w2,logThursday_w2,diffDays_w2,logResource_w2,logCore_w2,logViewed_w2,logViewedCore_w2,logViewedResource_w2,logViewedTargetCourse_w2,logViewedTargetCourseModule_w2,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,18,0,0,9,9,0,0,18,18,18,0,18,0,0,1,4,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,16,72,0,0,0,36,0,18,54,72,54,18,54,18,1,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,144,126,0,0,9,0,36,108,144,108,36,108,36,0,1,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,198,0,36,162,0,198,63,135,198,135,63,135,63,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,135,0,0,99,0,117,36,99,135,99,36,99,36,0,1,6,0,0
1,0,0,30,0,0,10,0,0,0,30,30,30,0,30,0,0,1,5,0,0
1,0,0,108,36,0,63,0,0,27,81,108,81,27,81,27,0,1,6,0,0
1,0,0,108,0,0,0,0,0,18,90,108,90,18,90,18,0,1,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,18,0,0,18,0,0,0,18,18,18,0,18,0,0,1,6,1,0
1,0,0,180,0,30,50,40,40,30,150,180,150,30,150,30,0,1,6,0,0
