classe_num,avgNote_w12,ndevoir_w12,log_w12,logsMonday_w12,logSunday_w12,logWed_w12,logThursday_w12,DiffDaysWeek,log_resource,log_core,logviewed_w12,logviewedCore_w12,logviewedResource_w12,logViewedTargetCourse_w12,logViewedTargetCourseModule_w12,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,1,1089,180,45,117,180,1,495,594,1089,594,495,594,495,0,1,6,0,0
1,15,1,63,0,0,0,0,1,27,36,63,36,27,36,27,0,1,4,0,0
1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,18.5,2,900,324,0,0,405,0,279,558,900,558,279,387,342,0,0,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,2,144,0,0,0,72,0,36,108,144,108,36,108,36,0,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,11.5,2,612,63,63,108,27,0,171,441,612,441,171,441,171,0,0,6,0,0
1,17.5,2,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17.5,2,803,44,242,165,99,0,242,561,803,561,242,561,242,0,0,6,0,0
1,0,0,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,198,126,0,9,18,0,63,135,198,135,63,135,63,0,0,3,0,0
1,19.5,2,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,17.5,2,639,117,18,0,0,0,171,468,639,468,171,432,171,0,0,5,0,0
1,12.5,2,288,72,72,0,72,1,90,198,288,198,90,198,90,1,1,6,0,1
1,16.5,2,9,0,0,0,9,0,0,9,9,9,0,9,0,0,0,5,0,0
0,0,0,108,72,0,36,0,0,36,72,108,72,36,72,36,0,0,4,0,0
1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.3333,3,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,14,1,1510,710,0,150,150,1,550,960,1510,960,550,960,550,0,1,4,0,0
0,13,1,27,0,18,9,0,0,0,27,27,27,0,27,0,1,0,5,0,0
1,17,1,66,0,0,0,0,0,22,44,66,44,22,33,22,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
1,19.5,2,441,27,0,9,18,0,135,297,441,297,135,207,135,0,0,6,0,0
1,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,12.5,2,100,60,0,0,0,0,40,60,100,60,40,60,40,0,0,6,0,0
0,0,0,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,18.5,2,207,0,0,45,36,0,45,162,207,162,45,162,45,1,0,5,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,2,333,198,0,54,0,0,90,243,333,243,90,243,90,0,0,6,1,0
1,0,0,27,0,0,0,27,0,0,27,27,27,0,27,0,0,0,5,0,0
