classe_num,avgNote_w24,ndevoir_w24,log_w24,logMonday_w24,logSunday_w24,logWed_w24,logThursday_w24,DiffDaysWeek,log_resource,log_core,logviewed_w24,logviewedCore_w24,logviewedResource_w24,logViewedTargetCourse_w24,logViewedTargetCourseModule_w24,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18.3333,3,1350,180,90,117,261,1,594,756,1350,756,594,756,594,0,1,6,0,0
1,16,3,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14.3333,3,90,0,0,0,0,0,9,81,90,81,9,81,9,1,0,3,0,0
1,18,4,972,324,0,0,405,0,297,612,972,612,297,441,360,0,0,6,0,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19.5,2,117,0,0,0,0,0,18,99,117,99,18,99,18,0,0,4,0,0
1,18.75,4,378,0,81,117,72,1,117,261,378,261,117,261,117,1,1,5,0,0
1,15.5,2,405,45,0,108,216,1,135,270,405,270,135,270,135,0,1,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,11.75,4,1242,216,99,207,27,0,351,891,1242,891,351,891,351,0,0,6,0,0
1,18,3,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17,4,2607,495,473,264,396,1,825,1782,2607,1782,825,1782,825,0,1,6,0,0
1,14.5,2,261,207,0,0,0,1,54,180,261,180,54,180,81,0,1,4,0,0
1,17,2,558,126,0,63,153,1,162,396,558,396,162,396,162,0,1,3,0,0
1,19.5,4,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18.25,4,891,117,18,0,108,0,270,621,891,621,270,585,270,0,0,5,0,0
1,13.3333,3,765,108,162,144,72,0,171,594,765,594,171,594,171,0,0,6,0,1
1,17.5,4,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,11,3,252,72,0,36,0,0,72,180,252,180,72,180,72,1,0,4,0,0
1,10.6667,3,81,0,0,81,0,0,27,54,81,54,27,54,27,0,0,6,0,0
1,15.75,4,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,15.3333,3,2210,790,0,270,340,0,700,1510,2210,1510,700,1510,700,0,0,4,0,0
0,13.3333,3,117,0,108,9,0,0,36,81,117,81,36,81,36,0,0,5,0,0
1,18.5,2,110,0,0,44,0,0,22,88,110,88,22,77,22,0,0,4,0,0
1,19,2,390,0,0,0,330,0,140,250,390,250,140,250,140,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
