classe_num,avgNote_w29,ndevoir_w29,log_w29,logMonday_w29,logSunday_w29,logWed_w29,logThursday_w29,DiffDaysWeek,log_forum,log_core,logviewed_w29,logviewedCore_w29,logviewedResource_w29,logViewedTargetCourse_w29,logViewedTargetCourseModule_w29,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18.5,4,1584,180,90,117,297,0,0,864,1584,864,720,864,720,0,0,6,0,0
1,16,3,63,0,0,0,0,0,0,36,63,36,27,36,27,0,0,4,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14.3333,3,90,0,0,0,0,0,0,81,90,81,9,81,9,0,0,3,0,0
1,18,5,1035,324,0,63,405,0,0,657,1035,657,315,486,378,0,0,6,0,0
1,19.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19,3,117,0,0,0,0,0,0,99,117,99,18,99,18,0,0,4,0,0
1,18.75,4,378,0,81,117,72,0,0,261,378,261,117,261,117,0,0,5,0,0
1,15,3,405,45,0,108,216,0,0,270,405,270,135,270,135,1,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,12,5,1494,252,99,261,27,0,0,1071,1494,1071,423,1071,423,0,0,6,0,0
1,18,3,234,72,0,0,72,1,0,189,234,189,45,189,45,0,1,4,0,0
1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,16.6,5,2904,737,473,319,396,0,0,1947,2904,1947,957,1947,957,0,0,6,0,0
1,16,3,261,207,0,0,0,0,0,180,261,180,54,180,81,0,0,4,0,0
1,17.6667,3,837,126,45,63,243,0,0,567,837,567,270,567,270,0,0,3,0,0
1,19.6,5,846,414,288,0,0,0,0,414,846,414,432,414,432,0,0,6,0,0
1,18.6,5,945,117,18,54,108,0,0,666,945,666,279,630,279,1,0,5,0,0
1,13.3333,3,765,108,162,144,72,0,0,594,765,594,171,594,171,0,0,6,0,1
1,17.5,4,45,0,0,0,9,0,0,36,45,36,9,36,9,0,0,5,0,0
0,11,3,333,72,0,72,0,0,0,243,333,243,90,243,90,0,0,4,0,0
1,11.75,4,81,0,0,81,0,0,0,54,81,54,27,54,27,0,0,6,0,0
1,14.2,5,45,45,0,0,0,0,0,36,45,36,9,36,9,1,0,6,1,0
1,15.3333,3,2610,840,0,370,450,1,0,1760,2610,1760,850,1760,850,0,1,4,0,0
0,13.3333,3,117,0,108,9,0,0,0,81,117,81,36,81,36,0,0,5,0,0
1,18.6667,3,110,0,0,44,0,0,0,88,110,88,22,77,22,0,0,4,0,0
1,18.6667,3,390,0,0,0,330,0,0,250,390,250,140,250,140,0,0,4,0,0
1,15,1,240,40,0,40,0,0,0,130,240,130,110,130,110,0,0,3,0,0
1,19,4,774,27,0,9,99,1,9,468,774,468,297,378,297,0,1,6,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15.4,5,270,60,0,40,40,1,0,190,270,190,80,190,80,0,1,6,0,0
0,12.25,4,468,0,405,0,0,0,0,153,468,153,315,153,315,0,0,5,0,0
1,18.6667,3,252,45,0,45,36,1,0,198,252,198,54,198,54,0,1,5,0,0
1,17,5,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,6,0,0
1,17.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.2,5,432,297,0,54,0,0,0,333,432,333,99,333,99,0,0,6,1,0
1,18,2,171,0,0,0,54,1,0,171,171,171,0,171,0,0,1,5,0,0
1,16.8,5,126,0,0,63,63,0,0,99,126,99,27,99,27,0,0,6,0,0
1,16,2,45,9,0,0,0,1,0,36,45,36,9,36,9,0,1,3,0,1
1,15.8,5,81,9,0,0,9,0,0,54,81,54,27,54,27,0,0,6,1,0
1,19.25,4,280,70,10,0,50,0,0,200,280,200,80,200,80,0,0,4,0,0
1,19.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,19.6667,3,36,36,0,0,0,0,0,27,36,27,9,27,9,0,0,3,1,1
1,19,3,279,72,0,135,0,0,0,189,279,189,90,189,90,0,0,6,1,0
1,14,4,780,100,60,210,180,0,0,530,780,530,250,530,250,1,0,5,0,0
1,17.25,4,297,0,63,0,0,0,0,144,297,144,153,144,153,0,0,6,0,0
-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,15.3333,3,369,72,81,36,36,0,0,270,369,270,99,270,99,0,0,5,1,0
1,14.5,2,954,180,0,72,0,1,0,567,954,567,387,567,387,0,1,3,0,0
0,11.3333,3,171,54,0,0,108,0,0,90,171,90,81,90,81,0,0,3,0,0
1,14,1,297,27,0,0,126,0,0,135,279,135,0,126,117,0,0,2,1,0
1,13.3333,3,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,15,3,414,0,54,153,81,0,0,351,414,351,63,351,63,0,0,4,1,0
1,18.8,5,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,19,5,936,27,135,99,378,0,0,630,927,630,216,531,279,0,0,6,0,0
0,11.75,4,486,153,90,108,90,0,0,297,486,297,189,297,189,0,0,5,0,0
1,17.3333,3,190,30,0,150,10,0,0,140,190,140,50,90,50,0,0,5,0,0
1,18.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,16.6,5,648,45,9,135,0,1,0,441,648,441,207,441,207,0,1,6,0,0
0,11.5,4,342,0,63,198,36,0,0,225,342,225,117,225,117,0,0,5,1,0
1,17.4,5,135,72,63,0,0,0,0,99,135,99,36,99,36,1,0,6,0,0
0,11.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15.5,4,198,0,0,54,45,0,0,153,198,153,45,153,45,0,0,5,1,0
1,12.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,13.6667,3,585,36,63,0,117,0,0,387,585,387,198,387,198,0,0,3,1,1
0,9,1,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,1,0,0
1,16.75,4,126,63,0,0,63,0,0,108,126,108,18,108,18,0,0,6,1,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,16.25,4,450,0,0,0,189,0,0,324,450,324,126,324,126,0,0,4,0,0
0,11,2,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,16.8,5,1215,72,0,189,351,0,0,684,1206,684,423,657,504,0,0,6,0,0
0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,18,4,380,0,190,100,0,1,0,300,380,300,80,300,80,1,1,5,1,0
1,17.25,4,459,63,0,0,306,0,0,207,459,207,252,207,252,0,0,6,0,0
-1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,11.3333,6,153,0,0,99,27,0,0,108,153,108,36,108,45,0,0,6,0,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,7.8,5,72,0,0,9,9,0,0,54,72,54,18,54,18,1,0,5,1,0
-1,9.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.6667,3,952,352,0,104,112,1,0,576,952,576,376,576,376,1,1,5,0,0
1,13.25,4,608,40,0,216,136,1,0,504,608,504,104,504,104,1,1,6,1,1
1,13.6,5,1989,1269,0,54,252,1,0,1332,1989,1332,657,1332,657,1,1,6,0,0
1,15,3,152,0,0,16,0,0,0,120,152,120,32,112,32,0,0,6,0,1
1,16.6667,3,728,72,32,240,72,0,0,440,728,440,288,440,288,0,0,4,0,0
1,14.25,4,984,168,224,64,56,0,0,728,984,728,256,728,256,0,0,4,0,0
1,16.6667,3,603,468,36,0,0,0,0,468,603,468,135,468,135,0,0,4,0,0
1,17.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
1,15.3333,3,8,0,0,0,8,1,0,8,8,8,0,8,0,0,1,6,0,0
1,19.5,4,1632,192,184,264,528,0,0,1112,1632,1112,520,1112,520,0,0,6,0,0
1,12,2,624,120,0,72,168,1,0,472,624,472,152,472,152,0,1,3,0,0
1,13.25,4,264,104,0,32,64,0,0,216,264,216,48,216,48,0,0,5,0,0
1,19.8,5,608,48,0,0,16,0,0,328,608,328,280,328,280,0,0,6,1,0
1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16.3333,3,32,32,0,0,0,0,0,24,32,24,8,24,8,0,0,4,0,0
1,17.3333,3,376,64,0,304,0,0,0,128,376,128,248,128,248,0,0,6,0,0
1,15.6,5,456,288,40,0,72,0,0,368,456,368,88,368,88,0,0,6,0,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13,3,48,16,0,0,0,0,0,48,48,48,0,48,0,0,0,5,1,0
0,11.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1
0,11.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,17.8,5,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,0,0
1,16,2,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,4,0,0
