s,avgNote_w3,ndevoir_w3,log_w3,logsMonday_w3,logSunday_w3,logWed_w3,logThursday_w3,DiffDaysWeek,log_resource,log_core,logviewed_w3,logviewedCore_w3,logviewedResource_w3,logViewedTargetCourse_w3,logViewedTargetCourseModule_w3,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,576,27,0,45,180,1,207,369,576,369,207,369,207,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,18,1,783,207,0,0,405,1,279,441,783,441,279,270,342,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,8,1,576,63,63,108,27,1,162,414,576,414,162,414,162,0,1,6,0,0
1,18,1,90,36,0,0,0,0,18,72,90,72,18,72,18,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,18,1,671,44,242,121,99,1,209,462,671,462,209,462,209,1,1,6,0,0
1,0,0,36,36,0,0,0,0,9,27,36,27,9,27,9,0,0,4,0,0
1,18,1,90,81,0,9,0,1,27,63,90,63,27,63,27,1,1,3,0,0
1,0,0,711,360,252,0,0,1,423,288,711,288,423,288,423,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,12,1,144,72,0,0,0,1,45,99,144,99,45,99,45,1,1,6,0,1
1,16,1,9,0,0,0,9,0,0,9,9,9,0,9,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13,1,45,45,0,0,0,1,9,36,45,36,9,36,9,1,1,6,1,0
1,0,0,760,450,0,0,100,1,250,510,760,510,250,510,250,0,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,66,0,0,0,0,0,22,44,66,44,22,33,22,0,0,4,0,0
