classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18.4,5,1620,216,90,117,297,0,729,891,1620,891,729,891,729,1,0,6,0,0
1,16,3,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15.25,4,36,0,0,0,36,0,9,27,36,27,9,27,9,0,0,6,0,0
1,14.3333,3,90,0,0,0,0,0,9,81,90,81,9,81,9,0,0,3,0,0
1,18,6,1035,324,0,63,405,0,315,657,1035,657,315,486,378,0,0,6,0,0
1,19.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19,4,117,0,0,0,0,0,18,99,117,99,18,99,18,0,0,4,0,0
1,18.75,4,459,0,81,117,72,0,162,297,459,297,162,297,162,0,0,5,0,0
1,14.5,4,648,45,0,108,216,0,189,459,648,459,189,459,189,0,0,4,0,0
1,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,11.5,6,1566,252,99,261,63,0,441,1125,1566,1125,441,1125,441,0,0,6,0,0
1,16.25,4,279,72,0,0,72,0,45,234,279,234,45,198,45,0,0,4,0,0
1,18.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,16.6,5,2981,737,473,352,396,0,968,2013,2981,2013,968,2013,968,0,0,6,0,0
1,12.75,4,261,207,0,0,0,0,54,180,261,180,54,180,81,1,0,4,0,0
1,17.6667,3,873,162,45,63,243,1,279,594,873,594,279,594,279,0,1,3,0,0
1,19.6,5,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18.6,5,945,117,18,54,108,0,279,666,945,666,279,630,279,0,0,5,0,0
1,13,4,1044,234,162,144,108,0,252,792,1044,792,252,792,252,0,0,6,0,1
1,17.5,4,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,11,3,459,72,0,153,0,0,117,342,459,342,117,342,117,0,0,4,0,0
1,13,5,81,0,0,81,0,0,27,54,81,54,27,54,27,0,0,6,0,0
1,13.6667,6,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,16,4,2690,840,0,370,530,0,880,1810,2690,1810,880,1810,880,0,0,4,0,0
0,13.3333,3,126,0,117,9,0,0,36,90,126,90,36,90,36,0,0,5,0,0
1,18.6667,3,110,0,0,44,0,0,22,88,110,88,22,77,22,0,0,4,0,0
1,18.6667,3,390,0,0,0,330,0,140,250,390,250,140,250,140,0,0,4,0,0
1,15,1,310,110,0,40,0,0,120,190,310,190,120,190,120,0,0,3,0,0
1,19.2,5,855,27,0,9,99,0,297,549,855,549,297,459,297,0,0,6,0,0
1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15.4,5,440,150,0,40,40,0,120,320,440,320,120,320,120,0,0,6,0,0
0,12.25,4,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,18.6667,3,252,45,0,45,36,0,54,198,252,198,54,198,54,0,0,5,0,0
1,17,6,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,6,0,0
1,17.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
